,n,time,result
0,2,4.491000000328427e-06,1
1,4,6.7359999995630915e-06,3
2,8,6.736999999645832e-06,21
3,16,9.3040000006539e-06,987
4,32,2.1814000000119904e-05,2178309
5,64,1.892699999928027e-05,10610209857723
6,128,2.7910000000019863e-05,251728825683549488150424261
7,256,5.421599999877458e-05,141693817714056513234709965875411919657707794958199867
8,512,9.49580000018102e-05,44893845313309942978077298160660626646181883623886239791269694466661322268805744081870933775586567858979269
9,1024,0.00019697300000132145,4506699633677819813104383235728886049367860596218604830803023149600030645708721396248792609141030396244873266580345011219530209367425581019871067646094200262285202346655868899711089246778413354004103631553925405243
10,2048,0.0004263459999975794,45415304437437894250455714462906892027009082612936444289511823902789714525092834356843497180347717304332077420750102996639625006407838018797363807741815915794968069489957662592260489596860563484362187663942834824730009793065752175759244081518806465182648002219755758995565516482064617351513826704211517343602925990599710229276939710372081414109914714493582044185153918055170241694035610145547104337536614028338983073680262684101
11,4096,0.0009575940000026151,4612001732280431247456445708563614127173224997617390534215059226137357133453956236072775985077061637311848907129417864574275423997101439882308358166652317363373656716074141072814493065517475413688262677419077617088948496309673353922704120725679705669386361748442871720790233981292904246541321855474289727005675146240418903692583131115962989146454578739972233255840007113102596686397958930124518885822059783685448190039658062872691964066428723178769322339485834664335313247796472730324095846596733944704930052412653763777113749102514483039561246866695780115646150369678333299122486379683222039167477498691611996122878629556831081616202064636498715093853352203252703786287926199052408354498825123496861419106453928530148716831934981264321286848387438601077819789292236505514653845305057927646386419899455438488952785050077521931600327064840520442470066917947
12,8192,0.003445090999999678,47562418031541483249676431926694568862149480972324064549612742278111718548363070798707033624119721767426905513318110795661489975128923800341128623393954535078065547131616124288778105054652871251172546807132252322254875613619201834986366057744916425315373473051994922507043518136622651656424547784431684239082242804725600852487249557795373202893258425083960916332231141701702347463396343309849019963474143214218535384411792618714448784365583124538727565557043183299480319068968419575252799355430235210749457244085276513617143428549353276934145700825964783680499445372476095398540532392857833170195485353390457707068479792769827067016237270093813366667598195593128008701052158198040977785650635726334113433936777926653341232317304733489254428459149082514741242412280118081209238897928825809917923580442941178027577480833460141994127176468557680825269187964749524441462975379083342543024459070626852971501173749195710639957405462015379765983598177624835986822818851219548411418928029017776298415426724599103689278052183824036162751803707592044490802825583663065212314217416366029249459563037156440964425374849729613949896426626793607686193821016610583254940091604185469377812370313122532419606408862211717836042446378554662668579041701723965043948655620049380194426810056637135765237204235607934937139872688185861763973168257020064558469125179776313819034144915338971194011192191553835984656999690441563660731547645115862321946715297440071750591212826953322054578456162778706287261880499335877083075570322528505610909592366318874272697225063010423987359622731057395089001162948356636744264593515957917920590074799853594448091655311706024143725579404877324929832982181763034121942551466950077266295376251851089202629
13,16384,0.012045467999996617,5058396327325686551269827549973861426477258989001989925400466165634267308742058012357566730965817168270186556799319601882358629431190271658733489135138593368903090627854596720322259110424585007685761251909166777010775450747699422915307939342809400687847366489121699538856143074142878238125281688322829142999509447040597146682901026163492494663628219067360923310244176583370953629154406768193150375489800614016239821470967470735669408626405531590618157785002493797065720148318852835648636409904878615877840576209326169729277376610902859537522024456230012483183596939199906419005452276700486161285368516895057010012502351089306639896117784164243481177849374559270116150590294996321071895993520735265706362508086757257379624391089893561808808114899987509025956789955038691469419114195509112946959132437324563465609265543503884922824488073591919842977266891164140684726513347380303274016327877894162414519161750163363827714535752321169606418762846208544445391064107623428072855631769174792586864736838647263245009856694451954732596565496923377120312111239754476335964066205943993354061533342007377688459339308845040866291820479208589874746055241605726483992196353445191914193948717290702286987193479849072528143353468272220648477017166136844313972455635412449539045193740177712400314180705339473625293227763141079469282828049778489015171620448842847243384733722962294342435502575907058646249478801603934637560916357242954111342936456767060593603826093324213734601651630016976370412844281959811382394218417816566637818840653406019292467012546427634189764444224926368971028236054955997359483863864785651173347729044011631342981017754189495815773878551814655084326512243634277007508889401536766718720622106063496555435915654563510401653761860163768712847154826777635292938352974966880064982971796391159889511078119952674137763767881744029228241759355689495185266178150757852000458132618331447357692345785538280769201722846749727351283857335358560514144152467588011133344325141906307639326428876236911604575722926818574024495621549737352541669432833263977129318258095013140757167303876514220120050919492109952488071700734824785590322083066670193406274569732340972457208398689545806358643617994275301100151864576990370811142101718330435452253534365767237739799929318624954513802036423292778176525340245550610856572199145374687718030692273303002620307243158682592779367535993328492197411617458605033164160783699354204980998734194024154771529877993852812558704012013982901545838756503583335876441191886783956883527869754250332381761568829503773446940594476701978419526448117066907145266178555150844459882598813382768869592375692934829737203315758123094667812128704101269012563144186281176585759151245072158294467307414744961924415102056734858384239280831616315259198492064185594177752430708338506184915161961035122598426713391837732422555556557954250041055969611249157600208802837090381586431753415073003376251939053729645335018066656267546670451066874462891660748897324321601227869242706627319461921270254930068568965838190817955102337445487766599014639807630474999116821620540782934220399729925613013700918024189051901381810387843587872385520898462682701486367720774500390193507060729637206407027826228073265938796125699355910541434499232791621915116312134149422810214953239034318801005748650014892176672240391574447183811705078983770247782014956471536815037101559040715093165358240388635116487934517684664695772372793939867475669563
