,n,time,result
0,2,0.01416821399999968,1.0
1,4,0.00010458100000043657,3.0
2,8,0.00014981500000033066,21.0
3,16,6.897199999933434e-05,987.0
4,32,6.961400000005113e-05,2178309.0
5,64,9.591999999969403e-05,10610209857723.0
6,128,9.880700000053366e-05,2.517288256835495e+26
7,256,9.784399999901439e-05,1.4169381771405649e+53
8,512,0.00010746899999958259,4.4893845313309925e+106
9,1024,0.00012639599999886286,4.506699633677817e+213
10,2048,0.0002473379999976544,inf
11,4096,0.00014724800000109894,inf
12,8192,0.0001645719999991968,inf
13,16384,0.00017162900000045056,inf
14,32768,0.00018157399999907398,inf
15,65536,0.00019600999999980218,inf
16,131072,0.00021108700000027625,inf
