,n,time,result
0,2,1.3473000000097102e-05,1
1,4,2.2775999999780083e-05,3
2,8,0.00011131900000016515,21
3,16,1.6040000000216992e-05,987
4,32,1.283199999946305e-05,2178309
5,64,1.0264999998454982e-05,10610209857723
6,128,1.700299999995991e-05,251728825683550554663419904
7,256,1.0265000000231339e-05,141693817714057722810263663060681563731249103013675008
8,512,1.1228000001750615e-05,44893845313310715337878217474920712761036366590976491045867798017221702345688961142661903754343645509058560
9,1024,1.283199999946305e-05,4506699633677974663582273329940103511155903887961265236082854013143935161180576655161609471341444902164979083998249070419721479470450006617421081642259925028426910117127493629795473692082744027183465038132197457920
10,2048,-1.0,-1
11,4096,-1.0,-1
12,8192,-1.0,-1
13,16384,-1.0,-1
14,32768,-1.0,-1
15,65536,-1.0,-1
16,131072,-1.0,-1
17,262144,-1.0,-1
